,V1
667969200000,0.503
667972800000,0.457
667976400000,0.426
667980000000,0.413
667983600000,0.414
667987200000,0.422
667990800000,0.398
667994400000,0.379
667998000000,0.355
668001600000,0.328
668005200000,0.332
668008800000,0.337
668012400000,0.336
668016000000,0.313
668019600000,0.3
668023200000,0.295
668026800000,0.297
668030400000,0.309
668034000000,0.285
668037600000,0.251
668041200000,0.346
668044800000,0.371
668048400000,0.343
668052000000,0.289
668055600000,0.233
668059200000,0.193
668062800000,0.171
668066400000,0.185
668070000000,0.243
668073600000,0.316
668077200000,0.34
668080800000,0.308
668084400000,0.289
668088000000,0.286
668091600000,0.298
668095200000,0.298
668098800000,0.296
668102400000,0.295
668106000000,0.302
668109600000,0.332
668113200000,0.367
668116800000,0.401
668120400000,0.402
668124000000,0.409
668127600000,0.496
668131200000,0.503
668134800000,0.503
668138400000,0.506
668142000000,0.519
668145600000,0.528
668149200000,0.529
668152800000,0.524
668156400000,0.519
668160000000,0.519
668163600000,0.493
668167200000,0.436
668170800000,0.396
668174400000,0.36
668178000000,0.332
668181600000,0.355
668185200000,0.348
668188800000,0.326
668192400000,0.334
668196000000,0.338
668199600000,0.343
668203200000,0.367
668206800000,0.352
668210400000,0.325
668214000000,0.415
668217600000,0.432
668221200000,0.431
668224800000,0.41
668228400000,0.41
668232000000,0.438
668235600000,0.476
668239200000,0.525
668242800000,0.578
668246400000,0.62
668250000000,0.561
668253600000,0.43
668257200000,0.374
668260800000,0.362
668264400000,0.369
668268000000,0.364
668271600000,0.37
