,S1
982940400000,0.0
982944000000,0.0
982947600000,0.0
982951200000,0.0
982954800000,0.0
982958400000,0.0
982962000000,0.0
982965600000,0.062
982969200000,0.226
982972800000,0.39
982976400000,0.506
982980000000,0.584
982983600000,0.625
982987200000,0.63
982990800000,0.552
982994400000,0.436
982998000000,0.296
983001600000,0.13
983005200000,0.0
983008800000,0.0
983012400000,0.0
983016000000,0.0
983019600000,0.0
983023200000,0.0
983026800000,0.0
983030400000,0.0
983034000000,0.0
983037600000,0.0
983041200000,0.0
983044800000,0.0
983048400000,0.0
983052000000,0.079
983055600000,0.261
983059200000,0.457
983062800000,0.57
983066400000,0.613
983070000000,0.61
983073600000,0.587
983077200000,0.515
983080800000,0.395
983084400000,0.241
983088000000,0.094
983091600000,0.0
983095200000,0.0
983098800000,0.0
983102400000,0.0
983106000000,0.0
983109600000,0.0
983113200000,0.0
983116800000,0.0
983120400000,0.0
983124000000,0.0
983127600000,0.0
983131200000,0.0
983134800000,0.0
983138400000,0.068
983142000000,0.235
983145600000,0.392
983149200000,0.542
983152800000,0.611
983156400000,0.651
983160000000,0.637
983163600000,0.575
983167200000,0.48
983170800000,0.335
983174400000,0.148
983178000000,0.001
983181600000,0.0
983185200000,0.0
983188800000,0.0
983192400000,0.0
983196000000,0.0
983199600000,0.0
983203200000,0.0
983206800000,0.0
983210400000,0.0
983214000000,0.0
983217600000,0.0
983221200000,0.0
983224800000,0.081
983228400000,0.276
983232000000,0.479
983235600000,0.619
983239200000,0.691
983242800000,0.709
983246400000,0.699
983250000000,0.636
983253600000,0.527
983257200000,0.355
983260800000,0.154
983264400000,0.001
983268000000,0.0
983271600000,0.0
983275200000,0.0
983278800000,0.0
983282400000,0.0
983286000000,0.0
983289600000,0.0
983293200000,0.0
983296800000,0.0
983300400000,0.0
983304000000,0.0
983307600000,0.0
983311200000,0.058
983314800000,0.188
983318400000,0.319
983322000000,0.44
983325600000,0.57
983329200000,0.633
983332800000,0.609
983336400000,0.524
983340000000,0.42
983343600000,0.275
983347200000,0.11
983350800000,0.0
983354400000,0.0
983358000000,0.0
983361600000,0.0
983365200000,0.0
983368800000,0.0
983372400000,0.0
983376000000,0.0
983379600000,0.0
983383200000,0.0
983386800000,0.0
983390400000,0.0
983394000000,0.0
983397600000,0.061
983401200000,0.224
983404800000,0.378
983408400000,0.535
983412000000,0.608
983415600000,0.628
983419200000,0.611
983422800000,0.555
983426400000,0.404
983430000000,0.253
983433600000,0.1
983437200000,0.0
983440800000,0.0
983444400000,0.0
983448000000,0.0
983451600000,0.0
983455200000,0.0
983458800000,0.0
983462400000,0.0
983466000000,0.0
983469600000,0.0
983473200000,0.0
983476800000,0.0
983480400000,0.0
983484000000,0.093
983487600000,0.301
983491200000,0.505
983494800000,0.635
983498400000,0.723
983502000000,0.754
983505600000,0.742
983509200000,0.679
983512800000,0.553
983516400000,0.365
983520000000,0.146
983523600000,0.001
983527200000,0.0
983530800000,0.0
983534400000,0.0
983538000000,0.0
983541600000,0.0
983545200000,0.0
983548800000,0.0
983552400000,0.0
983556000000,0.0
983559600000,0.0
983563200000,0.0
983566800000,0.0
983570400000,0.082
983574000000,0.267
983577600000,0.468
983581200000,0.628
983584800000,0.715
983588400000,0.749
983592000000,0.737
983595600000,0.675
983599200000,0.557
983602800000,0.381
983606400000,0.145
983610000000,0.001
983613600000,0.0
983617200000,0.0
983620800000,0.0
983624400000,0.0
983628000000,0.0
983631600000,0.0
983635200000,0.0
983638800000,0.0
983642400000,0.0
983646000000,0.0
983649600000,0.0
983653200000,0.0
983656800000,0.049
983660400000,0.192
983664000000,0.395
983667600000,0.559
983671200000,0.651
983674800000,0.687
983678400000,0.679
983682000000,0.612
983685600000,0.495
983689200000,0.324
983692800000,0.127
983696400000,0.0
983700000000,0.0
983703600000,0.0
983707200000,0.0
983710800000,0.0
983714400000,0.0
983718000000,0.0
983721600000,0.0
983725200000,0.0
983728800000,0.0
983732400000,0.0
983736000000,0.0
983739600000,0.0
983743200000,0.061
983746800000,0.2
983750400000,0.328
983754000000,0.431
983757600000,0.485
983761200000,0.513
983764800000,0.495
983768400000,0.469
983772000000,0.385
983775600000,0.247
983779200000,0.096
983782800000,0.0
983786400000,0.0
983790000000,0.0
983793600000,0.0
983797200000,0.0
983800800000,0.0
983804400000,0.0
983808000000,0.0
983811600000,0.0
983815200000,0.0
983818800000,0.0
983822400000,0.0
983826000000,0.0
983829600000,0.109
983833200000,0.33
983836800000,0.517
983840400000,0.665
983844000000,0.746
983847600000,0.771
983851200000,0.746
983854800000,0.67
983858400000,0.532
983862000000,0.356
983865600000,0.145
983869200000,0.002
983872800000,0.0
983876400000,0.0
983880000000,0.0
983883600000,0.0
983887200000,0.0
983890800000,0.0
